,gene_name
577,NOMO2
578,COX7C
579,GALNT14
580,SYNE4
581,PHGDH
582,MAPK15
583,HNRNPA2B1
584,OTOG
585,KRTAP1-5
586,KCNG3
587,SDF2L1
588,DENND6A
589,FAM95C
590,WDR35
591,SMIM3
592,ZNF625-ZNF20
593,THRB
594,HLCS
595,ATP13A3
596,RP5-877J2.1
597,NRG2
598,HCAR2
599,UBR5
600,SCYL1
601,HAPLN3
602,PFAS
603,FOXB1
604,RP11-162P23.2
605,GZMK
606,CDK13
607,HECW1
608,REV1
609,SNRPN
610,CCDC61
611,MYLK4
612,MMP12
613,ILVBL
614,OPN1MW3
615,FAM171A2
616,RASGEF1A
617,CEP112
618,GAGE12B
619,HERC4
620,FAM114A1
621,CCDC85A
622,ATXN7L3
623,SUMF1
624,PRRG2
625,RBBP9
626,CIR1
627,RAB5C
628,ADAT1
629,STX12
630,LYG2
631,MFSD3
632,LUC7L2
633,SYCP1
634,HTR4
635,BUB3
636,ALG10B
637,CYP4Z1
638,IL31RA
639,BTBD8
640,RP13-1032I1.10
641,COL6A1
642,ZNF564
643,MRPS23
644,SETD3
645,FXYD4
646,KATNAL2
647,POU4F1
648,HPRT1
649,HERC5
650,MRPS18A
651,EPS15L1
652,C11orf87
653,CTD-2192J16.22
654,XKR4
655,RAI1
656,DLGAP5
657,FAM72A
658,UNC79
659,LRRC74A
660,NUP54
661,MAGOH
662,FGFR1OP2
663,CARHSP1
664,RUBCN
665,SRP72
666,ARHGEF12
667,PIWIL4
668,GPRC5B
669,PPTC7
670,GPR22
671,DHRS12
672,VSTM1
673,CDK15
674,PRSS21
675,TLE7
676,GNAI1
677,KRTAP4-5
678,DNAJC17
679,DDX49
680,OR4F17
681,TLCD4
682,RRP1B
683,NDUFA4
684,RGS21
685,MMGT1
686,AMTN
687,ZNF467
688,PEF1
689,OPCML
690,H4-16
691,PCBP3
692,C3orf84
693,RAB29
694,FAM102B
695,PCDHGA8
696,WIPF3
697,H3-4
698,KRT75
699,MAP3K4
700,CAPZA2
701,S100A16
702,MTMR9
703,THOC5
704,NR3C1
705,TBC1D3E
706,S100G
707,RBBP6
708,LRFN1
709,CISD1
710,RP11-5A19.5
711,KIF25
712,DNTTIP2
713,AC009412.8
714,DCUN1D3
715,IL10
716,USP17L10
717,SMU1
718,HEATR9
719,OR2T33
720,PPP1R3D
721,AGXT
722,MIOS
723,F7
724,CNIH4
725,PRPF31
726,PPP1R21
727,NPTN
728,MIEF2
729,NOL11
730,TCEAL4
731,MED18
732,OVCA2
733,LRRC49
734,DNAJC18
735,RPS25
736,SLC25A37
737,CHST6
738,DDX39B
739,SNRPF
740,PAK5
741,CTC-554D6.1
742,PRMT8
743,CA13
744,ENTPD8
745,OR5L2
746,OOSP4A
747,MAP2
748,CTHRC1
749,AP1G1
750,F9
751,TRIM26
752,LRRC47
753,EXOSC6
754,OR56A1
755,CLBA1
756,MBD3L4
757,SHC1
758,VSTM2A
759,ATP6V0D1
760,SPANXA2
761,SERTAD4
762,CTSW
763,ITLN1
764,PDK2
765,BHLHB9
766,USP17L30
767,NCOA2
768,CXADR
769,ZGLP1
770,CADM2
771,RUNDC3B
772,SEMA3D
773,XPC
774,NTRK2
775,CYP4F11
776,KRTAP22-1
777,TBC1D16
778,BTBD11
779,CD302
780,ARL8A
781,TMEM169
782,ZNF316
783,ACTL8
784,IFITM5
785,XXbac-BPG32J3.22
786,RBPMS2
787,TPRG1L
788,GPR4
789,TMEM207
790,PRM1
791,PEX3
792,ARID1B
793,RP11-736I24.5
794,TIMP3
795,ANLN
796,TASP1
797,GCNA
798,MAX
799,TAX1BP1
800,PYCR3
801,USP45
802,HSPB1
803,SEC14L3
804,SLC25A1
805,CMTM2
806,SPAG7
807,RPS3
808,DOCK3
809,C11orf80
810,EDEM3
811,SYT12
812,SPATA17
813,SYNDIG1
814,MSRB3
815,DHX30
816,VPS11
817,TMEM230
818,DAZAP2
819,ZNF626
820,GATAD1
821,PLCD1
822,NXNL2
823,QPCT
824,TMEM219
825,PET117
826,ADGRF4
827,HSPBAP1
828,SLC1A4
829,OR5M1
830,KCNS3
831,CMSS1
832,PLLP
833,RIC8A
834,PARN
835,SURF4
836,MARVELD1
837,PRKCA
838,SLC14A2
839,STK19
840,GPR141
841,RP11-302M6.4
842,FGF22
843,BPNT2
844,DEFB130B
845,RP11-12J10.3
846,OR2F1
847,PDAP1
848,TMEM225B
849,NPAS3
850,LAMB1
851,CST7
852,ZNF483
853,ZNF320
854,MESP1
855,LAMTOR5
856,MAP7D2
857,CR1L
858,TAS2R9
859,TCF12
860,CARD6
861,TAS2R42
862,OSTN
863,TNNI3K
864,RP11-729L2.2
865,FAM163B
866,MAFA
867,SORBS3
868,ADD1
869,CES5A
870,CLCA1
871,OR6C1
872,TRAPPC4
873,TAF10
874,PLA2G12A
875,HMGB4
876,KIFC2
877,TMEM82
878,MSI1
879,HPR
880,GUCA2A
881,FBXO15
882,GSTM3
883,APOL6
884,RP11-792A8.5
885,SPDYC
886,NDUFAF6
887,FAM181B
888,ZNF559-ZNF177
889,POLI
890,SLC25A23
891,ZNF594
892,TMEM101
893,CIPC
894,RILPL1
895,PAM16
896,NMUR2
897,AGBL2
898,SF3B5
899,QRSL1
900,ADSS1
901,COX11
902,CLEC2L
903,GZMB
904,HOATZ
905,NID1
906,DENR
907,LAMTOR3
908,DDTL
909,NOP14
910,SIRT2
911,MMP16
912,CREB3L3
913,WSCD1
914,SYNPR
915,ZXDB
916,CCNJL
917,RB1
918,RANBP2
919,RBM33
920,CNPY4
921,KRTAP5-3
922,COX7B2
923,PRELID3A
924,CACNA1G
925,CCDC148
926,IL13
927,TMEM92
928,ZNF334
929,ADGRG6
930,RAP2B
931,KCNG2
932,LAMC3
933,DMXL2
934,ELOVL1
935,CDC42SE2
936,HAUS8
937,FOXF1
938,RND3
939,NPIPA9
940,RILPL2
941,ADCK5
942,ZDHHC23
943,PDE10A
944,PSMB5
945,P2RX5
946,AQP7
947,STXBP6
948,GSTM1
949,ADGRG4
950,ARHGAP26
951,MBNL1
952,AGR2
953,RP11-181L23.10
954,C7orf50
955,SPANXD
956,CCT2
957,NCKAP1L
958,SIGLEC6
959,PAPOLA
960,ANGPTL7
961,ART5
962,ZACN
963,COL20A1
964,FAM98A
965,SMYD1
966,TNR
967,OR51I1
968,ADCY2
969,FAM189A1
970,IL1RAP
971,SEMA3B
972,CHRAC1
973,DMGDH
974,MMP25
975,CT47A4
976,LSS
977,UBE2K
978,FAM124B
979,SLC66A3
980,ZNF280D
981,FAM243A
982,KCNJ6
983,OR2A14
984,SSX4B
985,GP6
986,PIGY
987,KCNK16
988,DDX50
989,TPSB2
990,DDX59
991,THAP8
992,MRC1
993,PPARGC1B
994,TCEAL7
995,RBMS1
996,ZSCAN5B
997,NOVA2
998,CBLC
999,LIPM
1000,DNAJB8
1001,PSG3
1002,AHSP
1003,KCTD20
1004,CCDC85C
1005,ODC1
1006,DNAJB13
1007,ADCY7
1008,TLCD1
1009,GNAT1
1010,VSTM5
1011,C1QTNF1
1012,KDELR3
1013,HSDL2
1014,PLCXD2
1015,SUCLG1
1016,POLR2C
1017,CLEC4C
1018,FEM1B
1019,NLGN4X
1020,LIN28B
1021,FLAD1
1022,OSGIN2
1023,ZNF461
1024,ARHGEF9
1025,RASL11B
1026,RGS11
1027,CCDC14
1028,AP5M1
1029,TUBB3
1030,TMEM170A
1031,NSF
1032,UNC119B
1033,S1PR2
1034,ABRAXAS2
1035,ID3
1036,OCIAD1
1037,USP29
1038,SSX4
1039,PTPN18
1040,PGA3
1041,PTPN22
1042,KCP
1043,RP11-481L19.2
1044,ZNF367
1045,STK25
1046,SHOX2
1047,LYG1
1048,ZMYM3
1049,MGAT5B
1050,GNA12
1051,COL21A1
1052,ELMO3
1053,ZSCAN1
1054,PMVK
1055,MYZAP
1056,MARCHF9
1057,CTSV
1058,PIR
1059,HES2
