Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cancer_Cell_Line_Encyclopedia	JHOM1 OVARY	2/119	3.342935e-01	5.726223e-01	0	0	1.699301e+00	1.861985e+00	SAMD5;SMOC1
Cancer_Cell_Line_Encyclopedia	SNU601 STOMACH	2/119	3.342935e-01	5.726223e-01	0	0	1.699301e+00	1.861985e+00	SAMD5;MSLN
Cancer_Cell_Line_Encyclopedia	P31FUJ HAEMATOPOIETIC AND LYMPHOID TISSUE	4/292	3.346046e-01	5.726223e-01	0	0	1.382653e+00	1.513736e+00	NIPSNAP3B;TSLP;KCNMB1;BPI
Cancer_Cell_Line_Encyclopedia	LS1034 LARGE INTESTINE	3/207	3.424379e-01	5.848219e-01	0	0	1.462825e+00	1.567658e+00	SAMD5;TPSG1;PHGR1
Cancer_Cell_Line_Encyclopedia	MFE319 ENDOMETRIUM	3/208	3.451691e-01	5.859512e-01	0	0	1.455615e+00	1.548368e+00	IL34;STAC2;IGFALS
Cancer_Cell_Line_Encyclopedia	JHUEM1 ENDOMETRIUM	2/122	3.452170e-01	5.859512e-01	0	0	1.656566e+00	1.761893e+00	PADI2;FAT2
Cancer_Cell_Line_Encyclopedia	SNU1079 BILIARY TRACT	2/122	3.452170e-01	5.859512e-01	0	0	1.656566e+00	1.761893e+00	LFNG;RERG
Cancer_Cell_Line_Encyclopedia	G401 SOFT TISSUE	3/209	3.478993e-01	5.892988e-01	0	0	1.448475e+00	1.529361e+00	MYOC;NXPH3;RTN4RL1
Cancer_Cell_Line_Encyclopedia	GAMG CENTRAL NERVOUS SYSTEM	1/43	3.511932e-01	5.924601e-01	0	0	2.363963e+00	2.473695e+00	CXCL5
Cancer_Cell_Line_Encyclopedia	NCIH2452 PLEURA	1/43	3.511932e-01	5.924601e-01	0	0	2.363963e+00	2.473695e+00	CLDN11
Cancer_Cell_Line_Encyclopedia	COLO741 SKIN	2/124	3.524674e-01	5.934036e-01	0	0	1.629243e+00	1.698970e+00	SOX10;ROPN1
Cancer_Cell_Line_Encyclopedia	RD SOFT TISSUE	3/211	3.533565e-01	5.936962e-01	0	0	1.434401e+00	1.492175e+00	SAMD5;EDN3;POU4F1
Cancer_Cell_Line_Encyclopedia	SNU1076 UPPER AERODIGESTIVE TRACT	2/125	3.560824e-01	5.970674e-01	0	0	1.615915e+00	1.668583e+00	ACE2;GABRP
Cancer_Cell_Line_Encyclopedia	BT20 BREAST	2/126	3.596902e-01	6.019009e-01	0	0	1.602802e+00	1.638885e+00	ALDH1L1;VGLL1
